id,fen,mateIn,composer
df50ef37,3r4/3k3P/K2N4/8/8/1pp1p3/8/4BBb1 w - - 0 1,-1,Geir Sune Tallaksen Østmoe
87f21bfd,8/3r4/1p5k/3PP3/2N5/8/8/5K2 w - - 0 1,-1,Hermanis Matisons
f15e6494,6K1/5p2/5Pk1/6p1/3pP1P1/8/8/8 w - - 0 1,-1,Евгений Васильевич Фомичёв
9079c5a4,8/r4p2/p7/8/5K2/7k/8/4R3 w - - 0 1,-1,Alois Wotawa
604836f1,8/RK1p4/7P/1k6/p2pp2B/P1P3P1/4q3/8 w - - 0 1,-1,Alfred Figdor
e886a615,5N2/8/5B2/8/8/1B6/pp6/k2K4 w - - 0 1,-1,Josef Kling
fbe91e7f,R6R/1r6/4k3/8/8/5K2/3r4/8 w - - 0 1,-1,Henri Rinck
a933c631,2N5/P5Pb/8/8/4r3/6Pk/5B1p/7K w - - 0 1,-1,Эрнест Левонович Погосянц
d71d30de,6K1/8/4k3/8/8/2p5/2P2P2/8 w - - 0 1,-1,Николай Дмитриевич Григорьев
30ed5c39,2n5/8/4p1pB/Q7/3qk2P/8/4K3/8 w - - 0 1,-1,Henri Rinck
6fd803e9,8/1q6/5Q2/1p2N3/5p2/k7/8/6K1 w - - 0 1,-1,Алексей Алексеевич Троицкий
56ea336c,1K6/8/q2N4/8/k1N5/8/4B3/8 w - - 0 1,-1,Henri Rinck
1aee2016,8/k7/3p4/K4R1n/8/8/4ppB1/8 w - - 0 1,-1,Карл Артур Леонид Иванович Куббель
334f1ee4,8/2N1K1kp/4p1P1/7n/2b5/8/R7/8 w - - 0 1,-1,Алексей Сергеевич Оганесян
09815143,5K1k/8/8/8/8/6P1/8/8 w - - 0 1,-1,Владимир Викторович Кузьмичев
16f08bf2,k1K5/8/8/1N2B3/8/8/8/3r4 w - - 0 1,-1,Александр Николаевич Шпаковский
832ad74c,8/8/2P1Ppp1/3r4/5pk1/8/2b1NPPK/8 w - - 0 1,-1,Martin Gohn
1fbfb0e2,6k1/6P1/8/pp6/7R/1p5K/8/8 w - - 0 1,-1,Oscar Weinberger
0e5d8345,3b2q1/2kPp3/1p1pp3/1Pp4p/4QP2/p1P2P1P/2KPb3/5n2 w - - 0 1,-1,Карл Артур Леонид Иванович Куббель
aa9533c0,4kr2/1R5p/7p/5p2/5K1p/3B4/8/8 w - - 0 1,-1,Aleksis Richard Rurik Rautanen
751829a6,8/4PK1P/6Pp/6pk/6p1/PP4P1/1r2q3/8 w - - 0 1,-1,Николай Иванович Кралин
3cd26ab0,R4b2/P7/k1K5/8/4p3/8/8/8 w - - 0 1,-1,Roger Jules Adolphe Missiaen
e0c95aa1,kqB1R3/p7/6K1/P7/8/8/8/8 w - - 0 1,-1,Эрнест Левонович Погосянц
4ab2a00a,Rb6/2q1p3/1p4p1/4pN2/8/B1NK4/1p6/k7 w - - 0 1,-1,Jan jr. Voormans
20460597,8/3p4/4PkrP/1p3p2/7P/4p3/4R3/3K4 w - - 0 1,-1,Александр Иосифович Гербстман
70e9890d,R5bk/5r2/P7/1P1pR3/3P4/7p/5p1K/8 w - - 0 1,-1,Annibale Dolci
0e56f00e,7k/6p1/6P1/8/8/p5K1/P7/8 w - - 0 1,-1,Josef Moravec
5d293071,k6r/Pp6/2Pp3p/7R/1K6/8/5N2/8 w - - 0 1,-1,Владимир Акимович Брон
03bcda12,8/6N1/n2b4/6p1/7P/1k6/3B1K2/8 w - - 0 1,-1,Victor Aberman
17cc70b3,8/7N/4p2P/p3p2P/P3P1k1/2p5/7p/2b1K2N w - - 0 1,-1,Алексей Алексеевич Троицкий
bca81643,8/4k3/2B1p1KP/5pn1/8/8/8/8 w - - 0 1,-1,John Crum
003a4ad1,K1k5/2P5/P3N3/p1P5/7p/8/8/8 w - - 0 1,-1,Paul Joiţa
8b24208f,1N4B1/3pkp2/7r/7p/8/7K/8/1R6 w - - 0 1,-1,Ervin Jánosi
9305ece6,8/8/2p3k1/2p5/R1P5/8/p2r4/6KR w - - 0 1,-1,Hamlet Amirjan
eefbdefb,7B/5rP1/K7/P7/4p3/8/8/1k6 w - - 0 1,-1,Валерій Петрович Власенко
26c7cb64,5Nnk/8/6K1/8/4r3/2R1Np2/8/8 w - - 0 1,-1,Вячеслав В. Ануфриев
b2f46ad5,3r4/P1k5/K7/1PP5/8/8/8/8 w - - 0 1,-1,Cornelis Jan de Feijter
51dfe336,6k1/7R/6P1/7P/8/7r/5K2/8 w - - 0 1,-1,Genrich Kasparjan
a4b9e7bf,K7/6N1/3P4/4p3/1r3k2/8/4P3/8 w - - 0 1,-1,Микола Васильович Резвов
f75e5092,8/3NKb2/8/3k1B2/3p2p1/8/8/8 w - - 0 1,-1,Friedrich Ludwig Balthasar Amelung
61998716,6R1/8/8/2B5/8/5K2/7p/7k w - - 0 1,-1,Friedrich Ludwig Balthasar Amelung
6499e99c,6r1/3Q4/5P1k/2p5/2b5/8/p6K/1N5N w - - 0 1,-1,Virgil Nestorescu
a8ef5bfb,7n/5B1P/2p4P/7p/7b/8/1K4k1/B7 w - - 0 1,-1,Сергій Ігорович Дідух
39ebd625,6K1/6P1/2r5/5Bp1/7k/8/6Pn/8 w - - 0 1,-1,Эрнест Левонович Погосянц
